,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
164,Fri Dec 15 04:06:15 +0000 2023,1735511562717421621,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/Cl6l0INvIe",0,1,1,1,in,1661761039057436677,1735511562717421621,irsanrusdi5,https://twitter.com/irsanrusdi5/status/1735511562717421621
165,Fri Dec 15 04:06:15 +0000 2023,1735511562121863492,"@ZulkifliLubis69 @prabowo @gibran_tweet @aniesbaswedan yabg katanya NEGARAWAN"" 😂😂😂😂 https://t.co/zRuQCOtjOQ""",0,1,0,0,in,1703593194536206336,1735163440367575314,keandriko0603,https://twitter.com/keandriko0603/status/1735511562121863492
166,Fri Dec 15 04:06:14 +0000 2023,1735511558283997690,"Menarik perspektif Bapak Eddy Soeparno mengenai keputusan Anis dan Ganjar. Apakah memang hanya Prabowo yang terlihat lebih tegas dalam melanjutkan program Jokowi?"" #te12dePAN #PAN #bluesquad #partaiamanatnasional https://t.co/bYd0OTp5sN""",0,0,0,1,in,1714167022505041920,1735511558283997690,reza264676,https://twitter.com/reza264676/status/1735511558283997690
167,Fri Dec 15 04:06:12 +0000 2023,1735511549861847406,Prabowo ramal AHY bakal jadi pemimpin di tingkat nasional. pw]  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/t8nkv1Nuy8,0,0,0,0,in,560467737,1735511549861847406,APhontiP,https://twitter.com/APhontiP/status/1735511549861847406
168,Fri Dec 15 04:06:12 +0000 2023,1735511548729434497,@PartaiSocmed @aniesbaswedan @prabowo unfoll dulu lah socmed mendadak bego trs gini sekarang,0,0,0,0,in,214790299,1735216864152981540,trikusumair,https://twitter.com/trikusumair/status/1735511548729434497
169,Fri Dec 15 04:06:12 +0000 2023,1735511548326772967,@carlitovito180 @andre_rosiade Kita ikuti aja perintah @prabowo https://t.co/QKYtGiVfpH,0,0,0,0,in,743011825394941952,1735340129139692025,Ndoro_Putra,https://twitter.com/Ndoro_Putra/status/1735511548326772967
170,Fri Dec 15 04:06:11 +0000 2023,1735511544900002033,@ajengcute16__ hampir tiap minggu orang demo dikantor komnasham dan setiap kali pak prabowo diudang ke tidak prnah mau dtng,0,0,0,0,in,1117780635626557440,1735212169481072969,LaluMuhRidwan3,https://twitter.com/LaluMuhRidwan3/status/1735511544900002033
171,Fri Dec 15 04:06:09 +0000 2023,1735511539611001275,AHY: Prabowo selalu memperhatikan rakyat kecil dan turun ke bawah. ]vm  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/aJolscEEfE,0,0,0,0,in,560467737,1735511539611001275,APhontiP,https://twitter.com/APhontiP/status/1735511539611001275
172,Fri Dec 15 04:06:07 +0000 2023,1735511530387677563,"@azissubekti @prabowo Semoga anakmu nanti dibunuh oleh polisi,biar prabowo bisa memperjuangkan keadilan buat kamu...",0,0,0,0,in,553400440,1735431949819498679,armanhermawan3,https://twitter.com/armanhermawan3/status/1735511530387677563
173,Fri Dec 15 04:06:07 +0000 2023,1735511529502765393,AHY ajak warga Jawa Barat untuk menangkan Prabowo dalam satu putaran. anr  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/toa3YOkq75,0,0,0,0,in,560467737,1735511529502765393,APhontiP,https://twitter.com/APhontiP/status/1735511529502765393
174,Fri Dec 15 04:06:04 +0000 2023,1735511514768158941,"Dampingi kampanye Prabowo di Tasik, AHY: Kita yakin Indonesia makin maju dan makmur. tvo  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/CybM31US0U",0,0,0,0,in,560467737,1735511514768158941,APhontiP,https://twitter.com/APhontiP/status/1735511514768158941
175,Fri Dec 15 04:06:02 +0000 2023,1735511508711596387,@VIVAcoid Sumbernya mulut prabowo Om !!,0,0,0,0,in,530920037,1735505352622501998,kri_tik_us,https://twitter.com/kri_tik_us/status/1735511508711596387
176,Fri Dec 15 04:06:02 +0000 2023,1735511506316660811,🔰INFO SLOT GACOR HARI INI   📷SLOT TERPERCAYA DAN DI JAMIN MEMBAYARA  Link slot gacor: https://t.co/jfybW9BEX5  Prabowo Gibran MasDar Anies #JumatBerkah pakbowoikut maunyakita Gacoan HAECHAN LEE https://t.co/HEVnegXnVC,0,0,0,0,in,1071527246,1735511506316660811,asupandunia_,https://twitter.com/asupandunia_/status/1735511506316660811
177,Fri Dec 15 04:06:01 +0000 2023,1735511502990487676,"@jansen_jsp Harusnya mas AHY @AgusYudhoyono yg dampingi prabowo bang.....cocoklah, dripda Gibran....jauh kemana2lah",0,0,0,0,in,1705799703097745408,1735206526552617117,Hyun_Son_iL,https://twitter.com/Hyun_Son_iL/status/1735511502990487676
178,Fri Dec 15 04:06:00 +0000 2023,1735511500255830116,@CNNIndonesia Banyak foto yg mengindikasikan bahwa banya anak2 dibawah umur waktu itu demo demi prabowo tapi sayang bahkan setelah prabowo jadi menhan orang terkuat ke 3 diindonesia pun kasus itu terkesan ga penting bagi prabowo.,0,0,0,0,in,1624640931168415745,1735397162073412086,FatraIncs,https://twitter.com/FatraIncs/status/1735511500255830116
179,Fri Dec 15 04:05:53 +0000 2023,1735511469922619823,@PartaiSocmed @aniesbaswedan @prabowo Pernah liat anjing makan kotoran...lidahnya dijulurin....,0,0,0,0,in,224526902,1735216864152981540,MerGraha,https://twitter.com/MerGraha/status/1735511469922619823
180,Fri Dec 15 04:05:52 +0000 2023,1735511465380151425,Wan Abud tidak tau terimakasih https://t.co/IQxGF3JKkI,0,0,0,0,in,891226539244875776,1735511465380151425,edkodpgzukw507,https://twitter.com/edkodpgzukw507/status/1735511465380151425
181,Fri Dec 15 04:05:51 +0000 2023,1735511461668217019,@PartaiSocmed @aniesbaswedan @prabowo Persis kata Budiman dan Ade kalo pendukung Probowo itu ........,0,0,0,0,in,134316939,1735216864152981540,Tafricool,https://twitter.com/Tafricool/status/1735511461668217019
182,Fri Dec 15 04:05:50 +0000 2023,1735511459348783249,@mardigu024 Pak prabowo punya dan lebih berpunya dari presiden sebelumnya pemimpin kaya jauh dari KKN nilai plusnya beliau nyapres beliau ketua partai bukan petugas bukan anak pungut Jadi tak ada satupun orang di dalam partai yg berani mengintimidasi beliau untuk berbagai hal kalau terpilih.,0,0,0,0,in,1641866275545808897,1735146480263168254,Syamsul100000,https://twitter.com/Syamsul100000/status/1735511459348783249
183,Fri Dec 15 04:05:47 +0000 2023,1735511443905319340,@rojeoz Program kerja Prabowo Gibran mengenai hal ini memang sangat luar biasa sekali tujuan dan manfaatnya ya.,0,0,0,0,in,1674804276160520192,1735310172070040061,GarudaNegaraku,https://twitter.com/GarudaNegaraku/status/1735511443905319340
184,Fri Dec 15 04:05:42 +0000 2023,1735511424787681582,"@tijabar Anies mengungkapkan fakta,para dayang2 mengatakan menyerang,bukannya prabowo yg menyerang Anies tong? @Fahrihamzah",0,0,0,0,in,1510617126654328833,1735485400444191228,Herri32407314,https://twitter.com/Herri32407314/status/1735511424787681582
185,Fri Dec 15 04:05:40 +0000 2023,1735511415128273307,"@gibran_tweet @persisofficial @bhayangkara_fc prabowo dan gibran sama-sama cacat etik, cacat moral",0,0,0,0,in,1726661782524301312,1719622498772488447,GedeAndika81918,https://twitter.com/GedeAndika81918/status/1735511415128273307
186,Fri Dec 15 04:05:37 +0000 2023,1735511402478260355,"Prabowo Sindir Anies Baswedan: APBD Paling Besar, Tapi Kok Mas Anies Gagal Memimpin Jakarta!  Gacoan | Anies | gempa | Daesang | Pagii | BATTER UP 100M VIEWS | pilihan terbaik | #SUHOinAAA | #NightHasComeEp8 | #NCTDREAMxSALMASALSABIL https://t.co/n2JiHZEooU",0,1,1,1,in,1645276589159243777,1735511402478260355,rasypai,https://twitter.com/rasypai/status/1735511402478260355
187,Fri Dec 15 04:05:35 +0000 2023,1735511395482128574,@Resty_J_Cayah @prabowo @jokowi Double wowww tuh tanah dari manaaaaaa  Ntar setelah baca tahu dan ngerti reaksinya ohhh myyy 🫣🫣😱😱😱  🫣 https://t.co/jDLoJwZncW,0,0,0,0,in,230652338,1735507508637409559,AnnaYellowHeart,https://twitter.com/AnnaYellowHeart/status/1735511395482128574
